Array Length           Seconds per insert
1000                  0.000001
2000                  0.000004
3000                  0.000005
4000                  0.000006
5000                  0.000007
6000                  0.000008
7000                  0.000008
8000                  0.000009
9000                  0.000009
10000                  0.000010
11000                  0.000010
12000                  0.000010
13000                  0.000011
14000                  0.000012
15000                  0.000013
16000                  0.000014
17000                  0.000015
18000                  0.000016
19000                  0.000017
20000                  0.000017
21000                  0.000018
22000                  0.000019
23000                  0.000020
24000                  0.000021
25000                  0.000022
26000                  0.000023
27000                  0.000023
28000                  0.000024
29000                  0.000025
30000                  0.000026
31000                  0.000027
32000                  0.000028
33000                  0.000029
34000                  0.000030
35000                  0.000030
36000                  0.000032
37000                  0.000032
38000                  0.000033
39000                  0.000034
40000                  0.000035
41000                  0.000036
42000                  0.000037
43000                  0.000037
44000                  0.000038
45000                  0.000040
46000                  0.000041
47000                  0.000041
48000                  0.000042
49000                  0.000043
50000                  0.000044
51000                  0.000045
52000                  0.000046
53000                  0.000046
54000                  0.000047
55000                  0.000048
56000                  0.000049
57000                  0.000050
58000                  0.000051
59000                  0.000052
60000                  0.000053
